,price,fecha,rsi
194,61684.31,2021-10-30T10:20:04.498732Z,52.7682959409187
195,61477.05,2021-10-30T10:10:04.878435Z,44.905218808169806
196,61339.21,2021-10-30T10:00:08.237430Z,40.57488642189505
197,61335.0,2021-10-30T09:50:05.049696Z,40.446594917926646
198,61404.9,2021-10-30T09:40:05.031118Z,43.63330752585781
199,61405.6,2021-10-30T09:30:04.268558Z,43.66581729204851
200,61523.69,2021-10-30T09:20:05.460208Z,49.00882810945236
201,61506.86,2021-10-30T09:10:07.191780Z,48.30564629712492
202,61407.55,2021-10-30T09:00:04.622183Z,44.2692906632692
203,61388.57,2021-10-30T08:50:09.630480Z,43.52081708007831
204,61393.92,2021-10-30T08:40:09.053643Z,43.80920782955185
205,61369.83,2021-10-30T08:30:06.945498Z,42.75067674513402
206,61344.78,2021-10-30T08:20:05.077698Z,41.6244083363062
207,61411.0,2021-10-30T08:10:07.789250Z,45.697156962968215
208,61659.33,2021-10-30T08:00:06.831149Z,57.63419266718866
209,61528.83,2021-10-30T07:50:04.186514Z,51.25747563489031
210,61584.61,2021-10-30T07:40:03.990178Z,53.61960695390179
211,61643.07,2021-10-30T07:30:07.033842Z,56.02489918558724
212,61681.33,2021-10-30T07:20:05.724361Z,57.57557229067086
213,61755.06,2021-10-30T07:10:03.858169Z,60.468519085047625
214,61659.33,2021-10-30T07:00:04.987325Z,55.20483209624295
215,61547.77,2021-10-30T06:50:06.113564Z,49.76788578236593
216,61700.38,2021-10-30T06:40:04.589020Z,56.132601382955286
217,61700.38,2021-10-30T06:30:04.594789Z,56.132601382955286
218,61734.98,2021-10-30T06:20:04.663748Z,57.54698922353594
219,61876.7,2021-10-30T06:10:04.887865Z,62.832955508864785
220,61626.57,2021-10-30T06:00:05.114909Z,50.80836187173309
221,61564.45,2021-10-30T05:50:04.778445Z,48.334418439355424
222,61510.11,2021-10-30T05:40:07.515207Z,46.21456277822679
223,61527.99,2021-10-30T05:30:05.214883Z,47.03765698915336
224,61614.26,2021-10-30T05:20:04.955335Z,50.93886745109325
225,61567.62,2021-10-30T05:10:08.242505Z,48.84413740607091
226,61617.5,2021-10-30T05:00:05.546533Z,51.15742645850007
227,61636.24,2021-10-30T04:50:05.610768Z,52.03500643609087
228,61505.63,2021-10-30T04:40:08.626351Z,45.85151977320545
229,61476.66,2021-10-30T04:30:04.707028Z,44.58593159262717
230,61546.91,2021-10-30T04:20:04.182708Z,48.311680672969494
231,61694.4,2021-10-30T04:10:05.621392Z,55.13236125034587
232,61781.6,2021-10-30T04:00:05.941098Z,58.609888112277865
233,61840.91,2021-10-30T03:50:08.346312Z,60.833447567987406
234,61734.46,2021-10-30T03:40:07.817650Z,55.11086820806391
235,61677.54,2021-10-30T03:30:04.983207Z,52.278953376896695
236,61714.36,2021-10-30T03:20:07.429365Z,53.92818565723198
237,61703.18,2021-10-30T03:10:06.114225Z,53.32555673982557
238,61775.38,2021-10-30T03:00:04.354201Z,56.69136039563759
239,61815.71,2021-10-30T02:50:06.246008Z,58.49196165101211
240,61861.4,2021-10-30T02:40:07.452869Z,60.4958053288982
241,61886.86,2021-10-30T02:30:04.312527Z,61.60803355249217
242,61816.93,2021-10-30T02:20:05.344054Z,56.871755957742984
243,61933.88,2021-10-30T02:10:04.558441Z,62.11699838544953
244,62006.0,2021-10-30T02:00:05.619224Z,64.94810042843727
245,61915.3,2021-10-30T01:50:04.727894Z,58.978551761570266
246,61912.34,2021-10-30T01:40:04.728744Z,58.788646232010855
247,62108.02,2021-10-30T01:30:05.982536Z,66.47401145265167
248,62089.76,2021-10-30T01:20:04.429149Z,65.25115674015298
249,61932.13,2021-10-30T01:10:04.846955Z,55.721663001242746
250,61960.3,2021-10-30T01:00:05.111063Z,56.93216987580942
251,62058.85,2021-10-30T00:50:04.666501Z,60.95385938124592
252,62009.84,2021-10-30T00:40:05.384336Z,58.05066889469075
253,61933.34,2021-10-30T00:30:07.346536Z,53.74744848227938
254,62051.92,2021-10-30T00:20:04.971975Z,58.84063648635646
255,62176.49,2021-10-30T00:10:08.295660Z,63.400164116003225
256,62112.67,2021-10-30T00:00:04.968791Z,59.74837794360256
257,62209.94,2021-10-29T23:50:04.914470Z,63.22512402506339
258,62215.34,2021-10-29T23:40:05.455240Z,63.41405509800676
259,62234.03,2021-10-29T23:30:04.673280Z,64.10148571994918
260,62062.9,2021-10-29T23:20:04.826988Z,54.081543670498135
261,62188.83,2021-10-29T23:10:04.652942Z,59.14274937912867
262,62364.7,2021-10-29T23:00:04.854957Z,64.95265499209683
263,62210.2,2021-10-29T22:50:05.294418Z,57.25068176393382
264,62260.72,2021-10-29T22:40:06.070102Z,58.96419550064637
265,62353.67,2021-10-29T22:30:07.311241Z,61.98346360843649
266,62271.61,2021-10-29T22:20:04.906404Z,57.931022402611774
267,62275.67,2021-10-29T22:10:04.810288Z,58.07706239208964
268,62405.53,2021-10-29T22:00:06.021831Z,62.55462869213563
269,62357.24,2021-10-29T21:50:05.253844Z,59.98880381899583
270,62319.16,2021-10-29T21:40:07.056833Z,57.96954553333274
271,62392.2,2021-10-29T21:30:06.118446Z,60.70192761042843
272,62385.21,2021-10-29T21:20:04.997885Z,60.297928111716374
273,62288.67,2021-10-29T21:10:05.899688Z,54.866655138426914
274,62286.76,2021-10-29T21:00:05.784655Z,54.76155923142556
275,62406.83,2021-10-29T20:50:07.726917Z,59.954537003937915
276,62422.58,2021-10-29T20:40:04.483101Z,60.59354592921314
277,62345.25,2021-10-29T20:30:04.978793Z,55.878854890399076
278,62433.65,2021-10-29T20:20:05.478754Z,59.735730499519924
279,62500.88,2021-10-29T20:10:05.726421Z,62.42586143708966
280,62371.58,2021-10-29T20:00:04.673977Z,54.837448874784236
281,62502.77,2021-10-29T19:50:04.433384Z,60.13273814325384
282,62307.35,2021-10-29T19:40:05.578941Z,50.61297673156977
283,62337.1,2021-10-29T19:30:04.110696Z,51.86237917332611
284,62117.26,2021-10-29T19:20:06.431960Z,43.17104430920225
285,62002.85,2021-10-29T19:10:05.107357Z,39.46439538201848
286,62023.45,2021-10-29T19:00:04.730382Z,40.455722188413255
287,62143.2,2021-10-29T18:50:05.954391Z,45.992452928046895
288,62135.32,2021-10-29T18:40:04.022478Z,45.691372204468976
289,62079.96,2021-10-29T18:30:04.238485Z,43.53516202980743
290,62128.13,2021-10-29T18:20:07.772547Z,45.92631892689605
291,62157.87,2021-10-29T18:10:05.382424Z,47.407150581885645
292,62308.36,2021-10-29T18:00:05.542340Z,54.23665070865847
293,62417.5,2021-10-29T17:50:04.858340Z,58.450588182076544
294,62375.44,2021-10-29T17:40:05.178551Z,56.29908675801008
295,62367.63,2021-10-29T17:30:05.294170Z,55.887713982661715
296,62468.83,2021-10-29T17:20:04.652608Z,59.96940737324233
297,62511.38,2021-10-29T17:10:05.283725Z,61.57913247213006
298,62634.51,2021-10-29T17:00:05.698477Z,65.85772694479795
299,62484.25,2021-10-29T16:50:04.933038Z,57.44983818515554
300,62563.05,2021-10-29T16:40:05.153542Z,60.31146381998281
301,62745.15,2021-10-29T16:30:04.749122Z,66.001777695638
302,62490.06,2021-10-29T16:20:05.246541Z,54.26477244490629
303,62675.57,2021-10-29T16:10:07.284134Z,59.85570299955406
304,62746.92,2021-10-29T16:00:04.358629Z,61.79041747771803
305,62771.15,2021-10-29T15:50:07.814820Z,62.45220950471659
306,62796.49,2021-10-29T15:40:05.371809Z,63.170634371603605
307,62357.04,2021-10-29T15:30:04.648913Z,46.53994145430398
308,62354.8,2021-10-29T15:20:06.835099Z,46.47278047867562
309,62361.89,2021-10-29T15:10:04.522297Z,46.73479038053821
310,62268.83,2021-10-29T15:00:04.698264Z,43.71045569372144
311,61955.01,2021-10-29T14:50:04.806622Z,35.39271024612315
312,61518.42,2021-10-29T14:40:05.010816Z,27.54080892938316
313,61192.47,2021-10-29T14:30:04.073747Z,23.3719447367175
314,61123.16,2021-10-29T14:20:04.741677Z,22.588936315017833
315,61098.13,2021-10-29T14:10:04.639307Z,22.298403635743302
